ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2010-11 , 1 ,CE630 ,ROCK MECHANICS , CE ,S CHANDRA,41,Click for details
2010-11 , 1 ,CE631N ,ADVANCED GEOTECHNICAL ENGINEERING , CE ,P K BASUDHAR,21,Click for details
2010-11 , 2 ,CE632N ,FOUNDATION ANALYSIS AND DESIGN , CE ,SARVESH CHANDRA,20,Click for details
2010-11 , 2 ,CE634N ,GROUND IMPROVEMENT TECHNIQUES , CE ,NIHAR RANJAN PATRA,24,Click for details
2010-11 , 2 ,CE635 ,FOUNDATION DYNAMICS , CE ,PRISHATI RAY CHOWDHURY,24,Click for details
2010-11 , 1 ,CE638N ,GEOTECHNICAL INVESTIGATIONS FOR CIVIL ENGINEERING PROJECTS , CE ,N R PATRA,16,Click for details
2010-11 , 1 ,CE639 ,ANALYTICAL AND NUMERICAL METHODS IN GEOMECHANICS , CE ,PRIYANKA GHOSH,14,Click for details
2010-11 , 1 ,CE640 ,EARTH SYSTEM PROCESSES , CE ,RAJIV SINHA,6,Click for details
2010-11 , 2 ,CE641 ,ENVIRONMENTAL GEOLOGY , CE ,R SINHA,18,Click for details
2010-11 , 1 ,CE642 ,GEOLOGICAL HAZARDS , CE ,JAVED N MALIK,29,Click for details
2010-11 , 2 ,CE647 ,PALEOSEISMOLOGY AND TECTONIC GEOMORPHOLOGY , CE ,JAVED N MALIK,18,Click for details
2010-11 , 2 ,CE648 ,LABORATORY PRACTICES IN GEOSCIENCES , CE ,R SINHA,8,Click for details
2010-11 , 1 ,CE649 ,ISOTOPE GEOCHEMISTRY AND APPLICATIONS , CE ,DEBAJYOTI PAUL,17,Click for details
2010-11 , 1 ,CE671N ,INTRODUCTION TO REMOTE SENSING , CE ,BHARAT LOHANI,11,Click for details
2010-11 , 2 ,CE672 ,MACHINE PROCESSING OF REMOTELY SENSED DATA , CE ,ONKAR DIKSHIT,9,Click for details
2010-11 , 2 ,CE673N ,"INSTRUMENTATION, LABORATORY AND FIELD PRACTICES IN GEOINFORMATICS ", CE ,BHARAT LOHANI,4,Click for details
2010-11 , 2 ,CE676 ,PRECISION REMOTE SENSING , CE ,B LOHANI,8,Click for details
2010-11 , 1 ,CE677N ,GEOSPATIAL DATA PROCESSING , CE ,ONKAR DIKSHIT,7,Click for details
2010-11 , 2 ,CE682N ,ANALYSIS AND DESIGN OF TRANSPORTATION INFRASTRUCTURE , CE ,A DAS,7,Click for details
2010-11 , 1 ,CE683 ,TRAFFIC ENGINEERING , CE ,PARTHA CHAKRABORTY,4,Click for details
2010-11 , 1 ,CE684 ,URBAN TRANSPORTATIONS SYSTEMS , CE ,V VASHUDEVAN,7,Click for details
2010-11 , 1 ,CE689N ,CHARACTERIZATION OF PAVEMENT MATERIALS AND ANALYSIS OF PAVEMENTS , CE ,ANIMESH DAS,5,Click for details
2010-11 , 2 ,CE690 ,LABORATORY COURSE IN TRANSPORTATION ENGINEERING , CE ,A DAS,6,Click for details
2010-11 , 1 ,CE699 ,M. TECH THESIS , CE ,CONVENER DPGC,83,Click for details
2010-11 , 2 ,CE699 ,M. TECH THESIS , CE ,CONVENER DPGC,87,Click for details
2010-11 , 3 ,CE699 ,M. TECH THESIS , CE ,CONVENER DPGC,43,Click for details
2010-11 , 1 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,CONVENER DUGC,0
2010-11 , 2 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,CONVENER DUGC,0
2010-11 , 3 ,CE699. ,M.TECH THESIS (FOR DUAL DEGREE ONLY) , CE ,CONVENOR DUGC,0
2010-11 , 2 ,CE717 ,GROUNDWATER HYDROLOGY &amp; POLLUTANT TRANSPORT , CE ,RAJESH SRIVASTAVA,19,Click for details
2010-11 , 1 ,CE799 ,PHD THESIS , CE ,CONVENER DPGC,39,Click for details
2010-11 , 2 ,CE799 ,PHD THESIS , CE ,CONVENER DPGC,44,Click for details
2010-11 , 3 ,CE799 ,PHD THESIS , CE ,CONVENER DPGC,2,Click for details
2010-11 , 2 ,CHE100 ,INTRODUCTION TO PROFESSION , CHE ,A KUMAR,80,Click for details
2010-11 , 2 ,CHE211 ,FLUID MECHANICS , CHE ,RAGHVENDRA SINGH,62,Click for details
2010-11 , 2 ,CHE221 ,CHEMICAL ENGINEERING THERMODYNAMICS , CHE ,N KAISTHA,68,Click for details
2010-11 , 1 ,CHE251 ,CHEMICAL PROCESS CALCULATION , CHE ,P K BHATTACHARYA,66,Click for details
2010-11 , 1 ,CHE312 ,HEAT AND MASS  TRANSFER , CHE ,A SHARMA,49,Click for details
2010-11 , 2 ,CHE313 ,SEPARATION PROCESSES , CHE ,NISHITH VERMA,52,Click for details
2010-11 , 1 ,CHE331 ,CHEMICAL REACTION ENGINEERING , CHE ,S GARG,49,Click for details
2010-11 , 1 ,CHE361 ,CHEMICAL PROCESS INDUSTRIES , CHE ,D KUNZRU,53,Click for details
2010-11 , 2 ,CHE362 ,BIOCHEMICAL ENGINEERING , CHE ,SRI SIVAKUMAR,51,Click for details
