ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2007-08 , 1 ,CHE612 ,SCIENCE &amp; TECHNOLOGY OF DRUGS , CHE ,ANIL KUMAR,0
2007-08 , 2 ,CHE616 ,MODELLING AND SIMULATION OF SEPARATION PROC. , CHE ,COURSE DROPPED,0
2007-08 , 1 ,CHE618 ,NEW SEPARATION PROCESSES , CHE ,P K BHATTACHARYA,0
2007-08 , 2 ,CHE621 ,THERMODYNAMICS , CHE ,P APTE,0
2007-08 , 2 ,CHE622 ,INTRODUCTION TO MOLECULAR SIMULATIONS , CHE ,J K SINGH,0
2007-08 , 2 ,CHE631 ,CHEMICAL REACTION ENGINEERING , CHE ,D KUNZRU,0
2007-08 , 1 ,CHE633 ,PRINCIPLES OF HETEROGENEOUS CATALYSIS , CHE ,G DEO,0
2007-08 , 1 ,CHE642 ,NUMERICAL METHODS IN CHEMICAL ENGINEERING , CHE ,S GARG,0
2007-08 , 2 ,CHE652 ,OPTIMIZATION , CHE ,S GARG,0
2007-08 , 2 ,CHE658 ,CHEMICAL PLANT SAFETY &amp; HAZARD ASSESSMENT , CHE ,J P GUPTA,0
2007-08 , 1 ,CHE659 ,PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION , CHE ,SIDDHARTHA PANDA,0
2007-08 , 1 ,CHE662 ,PETROLEUM REFINERY ENGINEERING , CHE ,D KUNZRU,0
2007-08 , 2 ,CHE670 ,INTRODUCTION TO POLYMER SCIENCE AND TECHNOLOGY , CHE ,S K GUPTA,0
2007-08 , 2 ,CHE673 ,"ENVIRONMENTAL POLLUTION: CONTROL, DESIGN AND MODELLING ", CHE ,N VERMA,0
2007-08 , 2 ,CHE676 ,ENGINEERING APPLICATIONS OF RHEOLOGY , CHE ,R CHHABRA,0
2007-08 , 1 ,CHE677 ,INTRODUCTION TO POLYMER PHYSICS AND RHEOLOGY , CHE ,V SHANKAR,0
2007-08 , 1 ,CHE678 ,MECHANICS OF SOFT MATERIALS , CHE ,ANIMANGSU GHATAK,0
2007-08 , 1 ,CHE681 ,ADVANCED PROCESS DYNAMICS &amp; CONTROL , CHE ,N KAISTHA,0
2007-08 , 1 ,CHE688 ,FUNDM. OF COLLOID &amp; INTERFACE SCI. &amp; TECH. , CHE ,COURSE DROPPED,0
2007-08 , 1 ,CHE699 ,M TECH THESIS , CHE ,CONVENOR DPGC,0
2007-08 , 2 ,CHE699 ,M TECH THESIS , CHE ,CONVENOR DPGC,0
2007-08 , 3 ,CHE699 ,M TECH THESIS , CHE ,CONVENOR DPGC,0
2007-08 , 1 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,YOGESH M JOSHI,0
2007-08 , 2 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,CONVENOR DUGC,0
2007-08 , 3 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,CONVENOR DUGC,0
2007-08 , 1 ,CHE701 ,M. TECH. SEMINAR , CHE ,J K SINGH,0
2007-08 , 2 ,CHE701 ,M. TECH. SEMINAR , CHE ,CONVENOR DUGC,0
2007-08 , 2 ,CHE702 ,M TECH SEMINAR , CHE ,CONVENOR DPGC,0
2007-08 , 1 ,CHE799 ,PHD THESIS , CHE ,CONVENOR DPGC,0
2007-08 , 2 ,CHE799 ,PHD THESIS , CHE ,CONVENOR DPGC,0
2007-08 , 3 ,CHE799 ,PHD THESIS , CHE ,,0
2007-08 , 1 ,CHE801 ,PHD SEMINAR , CHE ,J K SINGH,0
2007-08 , 2 ,CHE802 ,PHD SEMINAR , CHE ,N VERMA,0
2007-08 , 2 ,CHM100 ,INTRODUCTION TO PROFESSION , CHM ,M K GHORAI,0
2007-08 , 2 ,CHM101 ,GENERAL CHEMISTRY , CHM ,S P RATH,0
2007-08 , 1 ,CHM101N ,CHEMISTRY LAB , CHM ,F A KHAN,0
2007-08 , 2 ,CHM101N ,CHEMISTRY LAB , CHM ,S P RATH,0
2007-08 , 1 ,CHM201N ,CHEMISTRY , CHM ,A CHANDRA,0
2007-08 , 2 ,CHM201R ,GENERAL CHEMISTRY , CHM ,S S MANOHARAN,0
2007-08 , 1 ,CHM205 ,INDUSTRIAL ORGANIC CHEMISTRY , CHM ,J N MOORTHY,0
2007-08 , 2 ,CHM222 ,BASIC PHYSICAL CHEMISTRY , CHM ,M RANGANATHAN,0
2007-08 , 1 ,CHM301 ,BASIC ORGANIC CHEMISTRY-I , CHM ,M L N RAO,0
2007-08 , 2 ,CHM302 ,BASIC ORGANIC CHEMISTRY II , CHM ,F A KHAN,0
2007-08 , 2 ,CHM341 ,BASIC INORGANIC CHEMISTRY , CHM ,B D GUPTA,0
2007-08 , 2 ,CHM343 ,INORGANIC CHEMISTRY LAB , CHM ,V CHANDRASEKHAR,0
2007-08 , 1 ,CHM401 ,ORGANIC CHEMISTRY I , CHM ,Y D VANKAR,0
2007-08 , 2 ,CHM402 ,ORGANIC CHEMISTRY II , CHM ,M K GHORAI,0
2007-08 , 2 ,CHM404 ,ORGANIC CHEMISTRY LAB. , CHM ,J N MOORTHY,0
2007-08 , 1 ,CHM421 ,PHYSICAL CHEMISTRY I , CHM ,K SRIHARI,0
2007-08 , 2 ,CHM422 ,PHYSICAL CHEMISTRY , CHM ,P GUPTA BHAYA,0
2007-08 , 1 ,CHM423 ,PHYSICAL CHEMISTRY LAB , CHM ,S SUNDAR MANOHARAN,0
2007-08 , 1 ,CHM441 ,INORGANIC CHEMISTRY I , CHM ,V CHANDRASEKHAR,0
2007-08 , 2 ,CHM442 ,INORGANIC CHEMSTRY II , CHM ,R N MUKHERJEE,0
2007-08 , 2 ,CHM443 ,INORGANIC CHEMISTRY LAB , CHM ,S SARKAR,0
2007-08 , 3 ,CHM481 ,BIOSYSTEMS , CHM ,R GURUNATH,0
2007-08 , 2 ,CHM481 ,BIOSYSTEMS , CHM ,R GURUNATH,0
2007-08 , 1 ,CHM503 ,ORGANIC PREPARATION LAB , CHM ,R GURUNATH,0
2007-08 , 1 ,CHM521 ,MATHEMATICS FOR CHEMISTRY , CHM ,CONVENOR DUGC,0
2007-08 , 1 ,CHM602 ,ADVANCED ORGANIC CHEMISTRY II , CHM ,M K GHORAI,0
2007-08 , 1 ,CHM609 ,PRINCIPALES OF ORGANIC CHEMISTRY , CHM ,V K SINGH,0
2007-08 , 1 ,CHM611 ,PHYSICAL ORGANIC CHEMISTRY , CHM ,V K YADAV,0
2007-08 , 2 ,CHM612 ,FRONTIERS IN ORGANIC CHEMISTRY , CHM ,V K SINGH,0
2007-08 , 1 ,CHM616 ,CHEMISTRY OF ORGANOMETALLIC COMPOUNDS , CHM ,J K BERA,0
2007-08 , 1 ,CHM621 ,CHEMICAL BINDING , CHM ,S MANOGARAN,0
